Player,Wingspan-in,Height-in,DWS,Pos
Andre Drummond,90.25,81.75,5.7,C
Ben Simmons,83.5,82,5,PG
Anthony Davis,89.5,81.25,4.9,PF
Robert Covington,85.75,78.25,4.5,SF
Russell Westbrook,79.75,74.25,4.5,PG
Clint Capela,88.5,83,4.1,C
Victor Oladipo,81.25,75.25,4,SG
Jayson Tatum,83,80,4,SF
Paul George,83.25,79.75,3.9,SF
Rudy Gobert,92.5,84.5,3.9,C
Dwight Howard,88.5,81,3.9,C
Jusuf Nurkic,86,83,3.9,C
Kyle Anderson,86.75,79.5,3.8,SF
Joel Embiid,89,84,3.8,C
James Harden,82.75,76,3.8,SG
Al Horford,84.75,80,3.8,C
Donovan Mitchell,82,73.25,3.8,SG
Ricky Rubio,81,76,3.8,PG
Giannis Antetokounmpo,87,83,3.6,PF
Joe Ingles,82.25,79.75,3.6,SF
LaMarcus Aldridge,88.75,82,3.5,C
Derrick Favors,88,80.75,3.5,C
Josh Richardson,82,78,3.5,SF
Draymond Green,85.25,77.75,3.4,PF
DeAndre Jordan,90,81.75,3.4,C
Dejounte Murray,81.5,77,3.4,PG
Terry Rozier,80.25,72.5,3.4,PG
Karl-Anthony Towns,87.5,84,3.4,C
Pau Gasol,88,84,3.3,C
Al-Farouq Aminu,87.25,79.25,3.2,PF
Jaylen Brown,83.75,77.25,3.2,SG
DeMarcus Cousins,89.75,81.5,3.2,C
Thaddeus Young,83.5,77.75,3.2,PF
Kyle Lowry,76,73,3.1,PG
Otto Porter,85.5,79.5,3.1,SF
Steven Adams,88.5,82.75,3,C
Serge Ibaka,88,82,3,PF
LeBron James,84.25,79.25,3,PF
P.J. Tucker,84,77,3,PF
Jonas Valanciunas,90,83,3,C
Hassan Whiteside,91,82.5,3,C
Kevin Durant,88.75,81,2.9,PF
Danny Green,82,77.25,2.9,SG
Jrue Holiday,79,75.25,2.9,SG
Nikola Jokic,87,83,2.9,C
C.J. McCollum,78,75,2.9,SG
Trevor Ariza,86,79,2.8,SF
DeMar DeRozan,81,77.5,2.8,SG
James Johnson,84.75,79,2.8,PF
Dario Saric,82,82,2.8,PF
Kentavious Caldwell-Pope,80,76.5,2.7,SG
Kyrie Irving,76,73.75,2.7,PG
Damian Lillard,79.75,73.75,2.7,PG
Kelly Olynyk,81.75,82.75,2.7,PF
Chris Paul,76.25,71.75,2.7,PG
Marc Gasol,88,85,2.6,C
Julius Randle,84,79.75,2.6,C
Carmelo Anthony,84,78.25,2.5,PF
Lonzo Ball,80.5,78,2.5,PG
Aron Baynes,86.5,84,2.5,C
Bradley Beal,80,75.25,2.5,SG
Eric Bledsoe,79.5,72.25,2.5,PG
Ed Davis,84,81,2.5,C
Tobias Harris,83,78.5,2.5,PF
T.J. McConnell,72,74,2.5,PG
Pascal Siakam,87.25,80.25,2.5,PF
Marcus Smart,81.25,74,2.5,SG
Myles Turner,88,81.75,2.5,C
Marcin Gortat,87.5,83,2.4,C
Stanley Johnson,83.5,77,2.4,SF
Jakob Poeltl,86.75,84.25,2.4,C
Justise Winslow,82.25,76.5,2.4,PF
Goran Dragic,79,76,2.3,PG
Tyler Johnson,78,76,2.3,PG
Kyle Kuzma,84.25,80,2.3,PF
Khris Middleton,82.75,78.75,2.3,SF
Larry Nance,85.5,79.5,2.3,C
Kelly Oubre,86.25,77.75,2.3,SF
Nikola Vucevic,88.5,82.25,2.3,C
Willie Cauley-Stein,87,83.25,2.2,C
John Henson,89,81,2.2,C
Marcus Morris,82,79,2.2,PF
Dirk Nowitzki,85,83,2.2,C
Domantas Sabonis,82.5,82,2.2,C
Rudy Gay,87,79,2.1,PF
Enes Kanter,85.5,81.75,2.1,C
Luc Mbah a Moute,86.5,77.75,2.1,PF
Patty Mills,74,71.25,2.1,PG
Markieff Morris,82.75,79.75,2.1,PF
Kyle O'Quinn,88.75,80.5,2.1,C
Dwight Powell,84.5,81.5,2.1,C
Evan Turner,80,77.75,2.1,SF
Delon Wright,79.5,76.25,2.1,PG
Kent Bazemore,83.5,77,2,SG
John Collins,83.25,80.25,2,PF
Aaron Gordon,83.75,79.5,2,PF
Rondae Hollis-Jefferson,86,77.5,2,SF
Amir Johnson,85,82,2,C
Cory Joseph,77.5,74,2,PG
Shabazz Napier,75.25,71,2,PG
Ish Smith,77,71,2,PG
Lance Stephenson,82.5,76.5,2,SG
Fred VanVleet,74,72,2,PG
Kemba Walker,75.5,71.5,2,PG
Taurean Prince,83.5,78.5,2,SF
Bam Adebayo,87,82,1.9,C
Harrison Barnes,83.25,79,1.9,PF
Stephen Curry,75.5,74,1.9,PG
Dewayne Dedmon,88,82,1.9,C
Kris Dunn,81.5,75,1.9,PG
Wayne Ellington,78.5,76.25,1.9,SG
Jerami Grant,86.75,78.5,1.9,PF
Ersan Ilyasova,85.25,79.75,1.9,PF
Jeremy Lamb,83,76,1.9,SG
Brook Lopez,89.5,83.25,1.9,C
Daniel Theis,83,81,1.9,C
Marvin Williams,87.5,79,1.9,PF
Will Barton,81.75,77,1.8,SG
Nicolas Batum,85,80,1.8,SG
