Player,Wingspan-in,Height-in,DWS,Pos
Andre Drummond,90.25,81.75,5.7,C
Clint Capela,88.5,83,4.1,C
Rudy Gobert,92.5,84.5,3.9,C
Dwight Howard,88.5,81,3.9,C
Jusuf Nurkic,86,83,3.9,C
Joel Embiid,89,84,3.8,C
Al Horford,84.75,80,3.8,C
LaMarcus Aldridge,88.75,82,3.5,C
Derrick Favors,88,80.75,3.5,C
DeAndre Jordan,90,81.75,3.4,C
Karl-Anthony Towns,87.5,84,3.4,C
Pau Gasol,88,84,3.3,C
DeMarcus Cousins,89.75,81.5,3.2,C
Steven Adams,88.5,82.75,3,C
Jonas Valanciunas,90,83,3,C
Hassan Whiteside,91,82.5,3,C
Nikola Jokic,87,83,2.9,C
Marc Gasol,88,85,2.6,C
Julius Randle,84,79.75,2.6,C
Aron Baynes,86.5,84,2.5,C
Ed Davis,84,81,2.5,C
Myles Turner,88,81.75,2.5,C
Marcin Gortat,87.5,83,2.4,C
Jakob Poeltl,86.75,84.25,2.4,C
Larry Nance,85.5,79.5,2.3,C
Nikola Vucevic,88.5,82.25,2.3,C
Willie Cauley-Stein,87,83.25,2.2,C
John Henson,89,81,2.2,C
Dirk Nowitzki,85,83,2.2,C
Domantas Sabonis,82.5,82,2.2,C
Enes Kanter,85.5,81.75,2.1,C
Kyle O'Quinn,88.75,80.5,2.1,C
Dwight Powell,84.5,81.5,2.1,C
Amir Johnson,85,82,2,C
Bam Adebayo,87,82,1.9,C
Dewayne Dedmon,88,82,1.9,C
Brook Lopez,89.5,83.25,1.9,C
Daniel Theis,83,81,1.9,C
Bismack Biyombo,91,81,1.8,C
Mason Plumlee,83,83.25,1.8,C
Ekpe Udoh,88.5,80.75,1.8,C
David West,88.25,80.25,1.7,C
Kevin Love,83.25,79.75,1.6,C
Greg Monroe,86.25,81.75,1.6,C
Jarrett Allen,89.25,81,1.5,C
Kosta Koufos,88,85,1.5,C
Jordan Bell,83.75,79,1.4,C
Ian Mahinmi,84,82,1.4,C
Zaza Pachulia,84,83,1.4,C
Zach Collins,85,82.25,1.3,C
Gorgui Dieng,87.5,81.75,1.3,C
Montrezl Harrell,88.25,79,1.3,C
Richaun Holmes,85.5,80.25,1.3,C
Alex Len,87.5,85,1.3,C
Kevon Looney,87.5,80,1.3,C
Salah Mejri,86,85,1.3,C
Nene Hilario,88.75,82,1.1,C
Thon Maker,87,83.75,1.1,C
JaVale McGee,90,83,1.1,C
Tarik Black,87,80,1,C
Nerlens Noel,87.75,82,1,C
Lucas Nogueira,90,84,1,C
Mike Muscala,85,82.25,0.9,C
Tyler Zeller,84,83.25,0.9,C
Tyson Chandler,87,83.5,0.8,C
Deyonta Davis,86.5,81.25,0.8,C
Al Jefferson,86.5,80.5,0.8,C
Willy Hernangomez,85.5,83,0.7,C
Joffrey Lauvergne,81.5,83,0.7,C
Robin Lopez,89,84,0.7,C
Miles Plumlee,84.75,82.5,0.7,C
Tristan Thompson,85.25,79.5,0.7,C
Cody Zeller,82.75,82.75,0.7,C
Khem Birch,85,79.5,0.6,C
Channing Frye,86.5,81.5,0.6,C
Cristiano Felicio,84,81,0.5,C
Boban Marjanovic,92,87,0.5,C
Emeka Okafor,88,80.75,0.5,C
Willie Reed,87,81,0.5,C
Marreese Speights,86,82,0.5,C
Ivica Zubac,88,85,0.5,C
Andrew Bogut,87,83,0.3,C
Meyers Leonard,87,83.75,0.3,C
Timofey Mozgov,88,85,0.3,C
Jahlil Okafor,89,83,0.3,C
Jason Smith,82.75,82.75,0.3,C
Omer Asik,86,83,0.2,C
Dakari Johnson,86,83,0.2,C
Zhou Qi,91.75,85.25,0.2,C
Ante Zizic,87,84,0.2,C
Cole Aldrich,88.75,81,0.1,C
Thomas Bryant,90,81.5,0.1,C
Matt Costello,85.5,82,0.1,C
Udonis Haslem,83,79.75,0.1,C
Damian Jones,87.75,82.25,0.1,C
Joakim Noah,85.25,82,0.1,C
Georgios Papagiannis,90,86,0.1,C
Jeff Withey,86,82.75,0.1,C
Ike Anigbogu,90.25,80.5,0,C
Tony Bradley,89,81.25,0,C
Mangok Mathiang,84,82,0,C
Chinanu Onuaku,87,82,0,C
Justin Patton,86.5,84,0,C
Kendrick Perkins,88,82,0,C
Marshall Plumlee,81,85,0,C
