Player,Wingspan-in,Height-in,DWS,Pos
Anthony Davis,89.5,81.25,4.9,PF
Robert Covington,85.75,78.25,4.5,SF
Jayson Tatum,83,80,4,SF
Paul George,83.25,79.75,3.9,SF
Kyle Anderson,86.75,79.5,3.8,SF
Giannis Antetokounmpo,87,83,3.6,PF
Joe Ingles,82.25,79.75,3.6,SF
Josh Richardson,82,78,3.5,SF
Draymond Green,85.25,77.75,3.4,PF
Al-Farouq Aminu,87.25,79.25,3.2,PF
Thaddeus Young,83.5,77.75,3.2,PF
Otto Porter,85.5,79.5,3.1,SF
Serge Ibaka,88,82,3,PF
LeBron James,84.25,79.25,3,PF
P.J. Tucker,84,77,3,PF
Kevin Durant,88.75,81,2.9,PF
Trevor Ariza,86,79,2.8,SF
James Johnson,84.75,79,2.8,PF
Dario Saric,82,82,2.8,PF
Kelly Olynyk,81.75,82.75,2.7,PF
Carmelo Anthony,84,78.25,2.5,PF
Tobias Harris,83,78.5,2.5,PF
Pascal Siakam,87.25,80.25,2.5,PF
Stanley Johnson,83.5,77,2.4,SF
Justise Winslow,82.25,76.5,2.4,PF
Kyle Kuzma,84.25,80,2.3,PF
Khris Middleton,82.75,78.75,2.3,SF
Kelly Oubre,86.25,77.75,2.3,SF
Marcus Morris,82,79,2.2,PF
Rudy Gay,87,79,2.1,PF
Luc Mbah a Moute,86.5,77.75,2.1,PF
Markieff Morris,82.75,79.75,2.1,PF
Evan Turner,80,77.75,2.1,SF
John Collins,83.25,80.25,2,PF
Aaron Gordon,83.75,79.5,2,PF
Rondae Hollis-Jefferson,86,77.5,2,SF
Taurean Prince,83.5,78.5,2,SF
Harrison Barnes,83.25,79,1.9,PF
Jerami Grant,86.75,78.5,1.9,PF
Ersan Ilyasova,85.25,79.75,1.9,PF
Marvin Williams,87.5,79,1.9,PF
DeMarre Carroll,82,78.25,1.8,SF
Blake Griffin,83.25,80.5,1.8,PF
Mario Hezonja,82,80,1.8,SF
Brandon Ingram,87,81,1.8,SF
Nikola Mirotic,85,82,1.8,PF
Royce O'Neale,82,78,1.8,SF
Kristaps Porzingis,88.5,87,1.8,PF
Ryan Anderson,81,82,1.7,PF
Taj Gibson,88,80.5,1.7,PF
Maurice Harkless,84,79.25,1.7,SF
Wesley Johnson,85,78.25,1.7,SF
OG Anunoby,86.25,78.25,1.6,SF
Bojan Bogdanovic,82,79,1.6,SF
Corey Brewer,80.25,78,1.6,SF
Jae Crowder,81.25,76.75,1.6,SF
Andre Iguodala,83,77.75,1.6,SF
Jonas Jerebko,85,81,1.6,PF
Michael Kidd-Gilchrist,84,77.75,1.6,SF
Caris LeVert,82,77.75,1.6,SF
Lauri Markkanen,83,84,1.6,PF
Wesley Matthews,79,77,1.6,SF
Eric Moreland,88,82,1.6,PF
Thabo Sefolosha,86,79,1.6,SF
Andrew Wiggins,84,80,1.6,SF
Michael Beasley,84.25,79,1.5,PF
Marquese Chriss,84.25,80.75,1.5,PF
C.J. Miles,81,78,1.5,SF
Bobby Portis,86,81.5,1.5,PF
Anthony Tolliver,86.5,79,1.5,PF
Davis Bertans,82,82,1.4,PF
Reggie Bullock,80.75,77.75,1.4,SF
Patrick Patterson,85.25,80,1.4,PF
Trevor Booker,81.75,78.25,1.3,PF
Dante Cunningham,83,79,1.3,SF
JaMychal Green,86.25,80,1.3,PF
Joe Johnson,81,78.75,1.3,SF
Frank Kaminsky,83,83.75,1.3,PF
Semi Ojeleye,81.75,77.25,1.3,PF
Wilson Chandler,83.5,80,1.2,SF
Josh Jackson,82,80,1.2,SF
Maxi Kleber,82.75,82,1.2,PF
Trey Lyles,85.5,81,1.2,PF
Jarell Martin,81,80,1.2,PF
Zach Randolph,88,81,1.2,PF
Noah Vonleh,88.25,80,1.2,PF
Quincy Acy,86.75,78.5,1.1,PF
Nemanja Bjelica,83,82,1.1,PF
Dillon Brooks,78,77,1.1,SF
James Ennis,83.5,77.75,1.1,SF
Paul Millsap,85.5,78.25,1.1,PF
Omri Casspi,81.25,79.75,1,SF
Josh Huestis,85,79,1,PF
Skal Labissiere,86.5,82.5,1,PF
Mike Scott,82.75,79.25,1,PF
Vince Carter,84,79,0.9,SF
Evan Fournier,79.5,79,0.9,SF
Darius Miller,81,78,0.9,SF
Dragan Bender,86,85,0.8,PF
Cheick Diallo,88.5,79.5,0.8,PF
Jeff Green,85.25,79,0.8,PF
Jonathan Isaac,85.25,83,0.8,PF
Abdel Nader,85,78,0.8,SF
T.J. Warren,82.25,79,0.8,SF
Justin Anderson,83.75,77.25,0.7,SF
Wesley Iwundu,85,77.5,0.7,SF
Timothe Luwawu-Cabarrot,83,79,0.7,SF
Sam Dekker,83.5,79.75,0.6,PF
Doug McDermott,81.25,78.25,0.6,SF
Jabari Parker,84,80,0.6,PF
Lance Thomas,87,80,0.6,PF
Paul Zipser,83,80,0.6,SF
DeAndre' Bembry,80,78,0.5,SF
Kyle Collinsworth,78.5,79,0.5,SF
Justin Jackson,82.75,79,0.5,SF
Kawhi Leonard,87,78,0.5,SF
Ivan Rabb,85.5,80.75,0.5,PF
Brandan Wright,87.75,80.75,0.5,PF
Luke Babbitt,83.25,79.5,0.4,SF
Torrey Craig,83,78,0.4,SF
