Player,Wingspan-in,Height-in,DWS,Pos
Ben Simmons,83.5,82,5,PG
Russell Westbrook,79.75,74.25,4.5,PG
Victor Oladipo,81.25,75.25,4,SG
James Harden,82.75,76,3.8,SG
Donovan Mitchell,82,73.25,3.8,SG
Ricky Rubio,81,76,3.8,PG
Dejounte Murray,81.5,77,3.4,PG
Terry Rozier,80.25,72.5,3.4,PG
Jaylen Brown,83.75,77.25,3.2,SG
Kyle Lowry,76,73,3.1,PG
Danny Green,82,77.25,2.9,SG
Jrue Holiday,79,75.25,2.9,SG
C.J. McCollum,78,75,2.9,SG
DeMar DeRozan,81,77.5,2.8,SG
Kentavious Caldwell-Pope,80,76.5,2.7,SG
Kyrie Irving,76,73.75,2.7,PG
Damian Lillard,79.75,73.75,2.7,PG
Chris Paul,76.25,71.75,2.7,PG
Lonzo Ball,80.5,78,2.5,PG
Bradley Beal,80,75.25,2.5,SG
Eric Bledsoe,79.5,72.25,2.5,PG
T.J. McConnell,72,74,2.5,PG
Marcus Smart,81.25,74,2.5,SG
Goran Dragic,79,76,2.3,PG
Tyler Johnson,78,76,2.3,PG
Patty Mills,74,71.25,2.1,PG
Delon Wright,79.5,76.25,2.1,PG
Kent Bazemore,83.5,77,2,SG
Cory Joseph,77.5,74,2,PG
Shabazz Napier,75.25,71,2,PG
Ish Smith,77,71,2,PG
Lance Stephenson,82.5,76.5,2,SG
Fred VanVleet,74,72,2,PG
Kemba Walker,75.5,71.5,2,PG
Stephen Curry,75.5,74,1.9,PG
Kris Dunn,81.5,75,1.9,PG
Wayne Ellington,78.5,76.25,1.9,SG
Jeremy Lamb,83,76,1.9,SG
Will Barton,81.75,77,1.8,SG
Nicolas Batum,85,80,1.8,SG
Jimmy Butler,79.5,78,1.8,SG
Darren Collison,75,72.25,1.8,PG
Eric Gordon,81,74,1.8,SG
J.J. Redick,75.25,77,1.8,SG
Klay Thompson,81,77.75,1.8,SG
Rajon Rondo,81,73,1.7,PG
Dennis Smith,75,74,1.7,PG
Alec Burks,82,77,1.6,SG
Manu Ginobili,80,78,1.6,SG
Justin Holiday,85,79,1.6,SG
E'Twaun Moore,81.5,74.5,1.6,SG
Dwyane Wade,82.75,75.75,1.6,SG
Yogi Ferrell,75,72,1.5,SG
Gary Harris,78.75,74.5,1.5,SG
Josh Hart,80.25,75.75,1.5,SG
Buddy Hield,81.25,75.75,1.5,SG
Rodney Hood,80.5,79.25,1.5,SG
Denzel Valentine,82.75,76,1.5,SG
John Wall,81.25,74.75,1.5,PG
Allen Crabbe,83.25,77.25,1.4,SG
Spencer Dinwiddie,80.25,76.5,1.4,PG
Luke Kennard,77.25,76.5,1.4,SG
David Nwaba,83,76,1.4,SG
Elfrid Payton,80,74.5,1.4,PG
Jeff Teague,79.5,72.25,1.4,PG
Marco Belinelli,80,77,1.3,SG
Mario Chalmers,82,73,1.3,PG
Pat Connaughton,80,76,1.3,SG
Raymond Felton,76.25,71.5,1.3,PG
Bryn Forbes,77,75,1.3,SG
Andre Roberson,83,78.25,1.3,SG
Tomas Satoransky,79.25,78.5,1.3,SG
Avery Bradley,79.25,74,1.2,SG
Jordan Clarkson,80,75.25,1.2,SG
Tyreke Evans,83.25,76,1.2,PG
Tyus Jones,77,72.5,1.2,PG
Courtney Lee,79,77,1.2,SG
Jamal Murray,78.5,77,1.2,PG
Norman Powell,82.75,75,1.2,SG
Lou Williams,77,74,1.2,SG
Bogdan Bogdanovic,83,78,1.1,SG
Michael Carter-Williams,79.25,76.75,1.1,PG
De'Aaron Fox,78,76,1.1,PG
Tim Hardaway,79,78,1.1,SG
Shane Larkin,70.75,70.25,1.1,PG
Frank Ntilikina,84,77,1.1,PG
Tony Parker,76,74,1.1,PG
Jonathon Simmons,79.5,78,1.1,SG
J.J. Barea,70.75,70.75,1,PG
Tim Frazier,74.5,73,1,PG
Jerian Grant,79.5,75.25,1,PG
Gerald Green,81.75,78,1,SG
Shelvin Mack,79.5,73,1,PG
Austin Rivers,79.25,75.5,1,SG
Dennis Schroder,79.75,73,1,PG
Alex Abrines,78,77,0.9,SG
Jerryd Bayless,75.5,73.75,0.9,SG
Langston Galloway,80,74,0.9,SG
Devin Harris,79.5,73.75,0.9,PG
Joe Harris,78,76.75,0.9,SG
George Hill,81,73.25,0.9,PG
Reggie Jackson,84,75,0.9,PG
Shaun Livingston,83,78.25,0.9,PG
D'Angelo Russell,81.75,77,0.9,PG
J.R. Smith,82,77.5,0.9,SG
Garrett Temple,82,77,0.9,SG
Sindarius Thornwell,82,75.5,0.9,SG
Nick Young,84,77,0.9,SG
D.J. Augustin,75.5,70,0.8,PG
Ian Clark,78.5,75,0.8,SG
Tyler Ennis,79.25,73,0.8,PG
Patrick McCaw,82,77.25,0.8,SG
Jodie Meeks,76.5,75,0.8,SG
Brandon Paul,82.25,74.75,0.8,SG
Dion Waiters,79.25,74.5,0.8,SG
Malcolm Brogdon,82.5,75.75,0.7,PG
Sterling Brown,82,78,0.7,SG
Treveon Graham,82.5,76,0.7,SG
Andrew Harrison,81,76.5,0.7,PG
Jarrett Jack,79.5,74.5,0.7,PG
DeAndre Liggins,83,77,0.7,SG
Ben McLemore,79.75,75.5,0.7,SG
Emmanuel Mudiay,80.5,77,0.7,PG
Jameer Nelson,74.5,71,0.7,PG
Tony Snell,83.5,78,0.7,SG
Dwayne Bacon,82,76.75,0.6,SG
Devin Booker,80.25,76.5,0.6,SG
Alex Caruso,78,78,0.6,PG
Malcolm Delaney,78,76,0.6,PG
Jawun Evans,77.5,70.75,0.6,PG
Kyle Korver,81.5,78.25,0.6,SG
Frank Mason,75.25,71,0.6,PG
Raul Neto,74,74,0.6,PG
Jason Terry,77,74,0.6,SG
Terrance Ferguson,80.75,77.5,0.5,SG
Zach LaVine,80.25,76.5,0.5,SG
Malik Monk,78,76,0.5,SG
Terrence Ross,79.25,78,0.5,SG
Isaiah Taylor,75.5,75,0.5,PG
Milos Teodosic,79,77,0.5,PG
Tyler Ulis,74,68.75,0.5,PG
Tyrone Wallace,82,78,0.5,PG
C.J. Williams,80,78,0.5,SG
Ron Baker,81.75,75.25,0.4,SG
Dwight Buycks,78,75,0.4,PG
Quinn Cook,76,72.25,0.4,PG
Tyler Dorsey,77.25,75,0.4,SG
Markelle Fultz,81,76,0.4,SG
Shaquille Harrison,80,76,0.4,PG
Damion Lee,81,78,0.4,SG
Cameron Payne,79.25,72.75,0.4,PG
Briante Weber,79,74,0.4,PG
Joe Young,77,74,0.4,PG
Malik Beasley,79,75.5,0.3,SG
Patrick Beverley,77.5,73,0.3,SG
Trey Burke,77.5,71.75,0.3,PG
Jose Calderon,78,75,0.3,PG
Jamal Crawford,82,76.5,0.3,SG
Damyean Dotson,81,76.5,0.3,SG
Dante Exum,81.25,78,0.3,PG
Mike James,76,73,0.3,PG
Sean Kilpatrick,79,74.5,0.3,SG
Rodney McGruder,77.5,77,0.3,SG
Ramon Sessions,76.25,74,0.3,PG
Nik Stauskas,79.75,77.25,0.3,SG
Isaiah Thomas,73.75,68.75,0.3,PG
Arron Afflalo,81,77,0.2,SG
Ryan Arcidiacono,75,75,0.2,PG
Jabari Bird,80,78,0.2,SG
MarShon Brooks,85,77,0.2,SG
Antonius Cleveland,83,78,0.2,SG
Mike Conley,77.75,71,0.2,PG
Matthew Dellavedova,76,76,0.2,PG
Aaron Harrison,80,78,0.2,SG
Gary Payton,80,75,0.2,PG
Davon Reed,84,76.5,0.2,SG
Wayne Selden,82.5,76.25,0.2,SG
Iman Shumpert,81.5,76.25,0.2,SG
Kobi Simmons,78,75.25,0.2,PG
Julyan Stone,82,78,0.2,SG
Derrick Walton Jr.,74.5,71,0.2,PG
Derrick White,79.5,75.25,0.2,PG
Isaiah Whitehead,80.75,75.25,0.2,PG
