Team,Weighted-wingspan-in,Weighted-height-in,DRTG
Boston Celtics,81.93661012,77.48062456,101.5
Utah Jazz,83.78412714,78.48357544,101.6
Philadelphia 76ers,81.8608766,79.31386179,102
San Antonio Spurs,82.48267866,78.19514698,102.4
Toronto Raptors,82.90255156,78.21748777,103.4
Houston Rockets,83.42386738,77.74603898,103.8
Miami Heat,81.96638065,78.11221085,104
Golden State Warriors,83.55135841,78.36746667,104.2
Portland Trail Blazers,81.89025718,77.59531464,104.2
Oklahoma City Thunder,83.04926126,78.09538097,104.7
Detroit Pistons,82.97621813,77.3881848,104.8
Indiana Pacers,81.55992761,77.34131524,105.6
Los Angeles Lakers,82.93509495,78.59249724,105.6
New Orleans Pelicans,82.89449484,77.21458104,105.6
Washington Wizards,82.48744775,78.22330916,106.2
Charlotte Hornets,83.01941257,78.04837976,107
Milwaukee Bucks,83.39242852,78.51070294,107.1
Dallas Mavericks,80.10770008,77.60488513,107.4
Los Angeles Clippers,82.62216471,77.65625159,107.7
Orlando Magic,82.30515712,77.93580841,107.7
Atlanta Hawks,82.12312846,78.08848906,108.2
Memphis Grizzlies,82.63907495,78.32844928,108.4
Minnesota Timberwolves,83.39443322,78.73144408,108.4
New York Knicks,82.95630799,78.76656414,108.4
Brooklyn Nets,82.95656225,78.11414686,108.5
Denver Nuggets,82.35648893,78.61698944,108.8
Sacramento Kings,83.24564667,78.62699317,108.9
Chicago Bulls,83.3054996,78.71112006,109.1
Cleveland Cavaliers,82.6823434,77.87736925,109.5
Phoenix Suns,81.77069482,78.563569,110.6
